Marca temporal,¿En qué localidad se encuentra?,Nombre del local,Dirección del local,Teléfono,¿Tiene delivery?,Horario de atención,¿A qué hora abre tu negocio?,¿A qué hora cierra tu negocio?,Hora inicio turno mañana,Hora cierre turno mañana,Hora inicio turno tarde,Hora cierre turno tarde,¿Qué días abre tu negocio?,Foto del local,Nombre,Apellido
4/11/2019 18:38:18,Presidencia Roque Sáenz Peña,asdasd,sdsd,24242442,No,Mañana y Tarde,,,1:00:00,1:00:00,1:01:00,1:01:00,Miércoles,,Juancito,Martínezzz
4/11/2019 18:40:34,Quitilipi,Kiosco Mafalda,San Martín nº500,3644569832,No,24hs,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=14LewDb0EaIHbZU0PjXZe765RbWtah9oS,Kiosco Mafalda,Kiosco Mafalda
4/11/2019 18:48:34,Quitilipi,Panaderia Emanuel,San Martin,,No,Mañana y Tarde,,,7:00:00,12:00:00,17:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1dELOp3bovTAKQvjuG64g-go2C8VTytEm,Emanuel,Gonzales
4/11/2019 18:58:23,Quitilipi,Super-Kit,San Martin nº300,,Sí,Mañana y Tarde,,,8:00:00,12:30:00,16:00:00,20:30:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1cNiHqO2OKSFtANkJ_LzfJYS2UhUlSkK1,Jorge,Mañanes
4/11/2019 19:10:09,Quitilipi,Pintureria San Jorge,Entre Ríos nº500 ,,No,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=15_-MAq5cLUME6Bkl4Kd3RX8zhL3ZoZ50,Mariana,Goy
4/11/2019 19:21:37,Quitilipi,Buloneria San Martín,San Martín nº1099,(03732) 48-0482,No,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1U-kicWjhEJGtTL0R9CMoiHbboKOLnMYG,Marcelo,salas
4/11/2019 19:39:08,Quitilipi,Corralon El Tano,Mendoza 789,0364 432-6888,Sí,Mañana y Tarde,,,8:00:00,12:30:00,16:00:00,20:30:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1cB5oL2XHSXiBqNXoyLTvYzGVG7e-flck,Alan,olivieri
22/10/2019 10:11:33,Quitilipi,BurguerTown,Sarmiento 120,3624780965,Sí,Mañana y Tarde,,,10:00:00,14:00:00,20:00:00,3:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",,Hector ,Saucedo 
22/10/2019 16:58:45,Presidencia Roque Sáenz Peña,AlanDesigns,Calle Falsa 123,0303456,Sí,Mañana y Tarde,,,9:00:00,13:00:00,17:00:00,21:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1BtoUzoTZNAbRCX0gzPXVT3OAQ5Nl0_Xu,Alan,Panzich
22/10/2019 19:05:07,Machagai,HDP,Uruguay 7,,No,Horario Corrido,8:30:00,1:00:00,8:30:00,12:30:00,12:30:00,1:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",,Ivana Leonor,Parra
22/10/2019 19:16:44,Machagai,BET-EL 2,Suligoy y Uruguay,471-695,No,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1Kvz78CT__gB3puGI5MGSynJXJCNeGPWk,Cristian,González 
22/10/2019 19:26:10,Machagai,COMPUNET,Soligoy 7,3734605229,No,Mañana y Tarde,,,8:00:00,12:00:00,16:30:00,20:30:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1FQrjrjDHXkJ1Kqi15mH8EHatAdB6riZl,Martin,Tarico
23/10/2019 17:30:49,Machagai,Muebleria N&N,Acceso soldado Felix Aguirre 427,,Sí,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1bCzp_bWRykytl-A9eora_rC-T4bHv7Dt,Nestor omar,Biglia
23/10/2019 17:36:08,Machagai,Navarrete Hogar,Angel la gata 161,470-577,Sí,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",,Enrique alfredo,Navarrete
23/10/2019 18:05:03,Quitilipi,Agrosemillas San Martín,San Martín 715,3644454764,No,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",,Esteban,De Domingo
23/10/2019 18:06:46,Machagai,Rompería Maeli,Suligoy,,No,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",,Ernesto,Maglione
23/10/2019 20:36:18,Quitilipi,Famar Hogar ,Cordoba 399,3644458383,Sí,Mañana y Tarde,,,8:00:00,12:30:00,16:30:00,20:30:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",,Facundo,Gonzalez
24/10/2019 10:31:14,Presidencia Roque Sáenz Peña,La Estancia Carnes,Belgrano 811,3644321922,No,Mañana y Tarde,,,8:00:00,13:00:00,17:00:00,21:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1lNLXxlwFRGLJQxtn8XT0xnOPemFt4xTu,Alex,Cernik
25/10/2019 9:07:32,Quitilipi,Arsau Pizzas,Av. Bs.As n°40,3644278162,Sí,Mañana y Tarde,,,10:00:00,14:00:00,20:00:00,3:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1jVC8E1DkcGxkgDd-9J_GXJxgaQ-KoxOv,Javier,Arias
25/10/2019 9:14:09,Quitilipi,Exclusive Hombres,Cordoba n°520,,No,Mañana y Tarde,,,9:00:00,12:30:00,17:30:00,21:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1vJV4jT-Jn09f9vd0mK_fXSvFawPCt9As,Nestor,Martinez
25/10/2019 9:19:01,Quitilipi,Norte Distribuciones,Jose alonso n°679,,Sí,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=14_QYyzKVAyxjroKjnrLbSLmVAMQGijdR,jose luis,sosa cordero
25/10/2019 9:28:06,Quitilipi,Optica Gafas Quitilipi,San Martin n°310,,No,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=13HS_O-iftZfHMe51FiroOjTt_koyMpcb,Claudio,Fernandez
25/10/2019 9:34:30,Quitilipi,ibiza Resto Bar,Av Bs.As n°216,,No,Mañana y Tarde,,,0:00:00,0:00:00,20:00:00,3:00:00,"Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1d2iEwTy2exIrX_gLWAFd650JckZ1-q6d,Hugo,Pegoraro
25/10/2019 9:39:38,Quitilipi,CompuCenter,Mendoza 583,,No,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,20:30:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1BB8-IcRoRh8RLhB2C0qrDYQM89QjJn3K,Elio,Martina
25/10/2019 9:46:52,Quitilipi,El Mariscal cafe-bar,Mendoza y San Martin,,No,24hs,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1CDmkIiiRGH3KCzotdcYrVZdD5-G1UzIp, Fernadez,fernandez
25/10/2019 10:01:59,Presidencia Roque Sáenz Peña,Axion Energy,Calle 10 Esquina 17,,No,24hs,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1yi5laFtjiMwJuCBsd9A_jh25LmBPgsdF,Crismi,Combustible
25/10/2019 10:06:27,Presidencia Roque Sáenz Peña,Ibañes Repurstos,Calle 10 entre 17 y 19,,Sí,Mañana y Tarde,,,8:00:00,13:00:00,16:00:00,20:30:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1FsG887Hy7zpmH8l9-jBkuCtsaX3981RV,Julio ,Gaffoglio
25/10/2019 10:08:35,Presidencia Roque Sáenz Peña,Libreria de la paz,Superiora palmira 488,,No,Mañana y Tarde,,,8:00:00,13:00:00,17:00:00,21:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1mbPL8W_cYYYoReRBRH67nNVmjzdtMXx6,Ruben Antonio ,Biseglia 
25/10/2019 10:19:53,Presidencia Roque Sáenz Peña,Pizzeria Roma,Belgrano 825,,No,Horario Corrido,19:00:00,2:00:00,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=11Cd_TZK41MVfMSAfocFlS5qpzZjTnJhY,Alex,Cernik 
25/10/2019 10:28:49,Presidencia Roque Sáenz Peña,Derka y Vargas,Calle 10 Esquina 19,,No,Mañana y Tarde,,,7:30:00,12:30:00,16:00:00,19:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1FaWw7S3Ab9kV5o6_1tMzH-Nm4yYkqyKH,Derka,Vargas
28/10/2019 11:18:43,Quitilipi,Famae Hogar,Cordoba 399,3644480280,Sí,Mañana y Tarde,,,8:00:00,12:30:00,16:30:00,20:30:00,"Lunes, Martes, Miércoles, Jueves, Viernes",,Facundog,González 
29/10/2019 17:53:24,Presidencia Roque Sáenz Peña,Digital Print,calle 19 entre 12 y 14 (casi esquina 14),0364 443-0353,No,Mañana y Tarde,,,9:00:00,13:00:00,17:00:00,21:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1Gh7p7rLt9Aq3UY0aLhNvcG3KJMMiTCX6,ivan,nolose
29/10/2019 18:17:42,Presidencia Roque Sáenz Peña,Bless,calle 15 y 12,+54 9 364 458-7118,Sí,24hs,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1Vnanuz_jVPweqGLyoSOdYArQibbmqAxb,Bless,Bless
29/10/2019 18:22:40,Presidencia Roque Sáenz Peña,Acuarela,San Martín 632 ,0364 442-6268,No,Horario Corrido,9:00:00,13:00:00,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1WqiD_fIqLGOomgHfkvdgzfyAWcWXsOpq,Acuarela,Acuarela
29/10/2019 18:30:30,Presidencia Roque Sáenz Peña,Pizzería Cacho,San Martín 702,+54 9 364 438-7096,No,Mañana y Tarde,,,9:00:00,13:00:00,17:00:00,0:00:00,"Lunes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1Mu_AUKXGAEQlaMDL8y8W7sopGSGyHiV-,Alexis,Urban
29/10/2019 18:38:38,Presidencia Roque Sáenz Peña,Fernando Viandas,calle 12 y 23,+54 9 364 468-7827,No,Mañana y Tarde,,,9:00:00,14:00:00,17:00:00,21:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1dnKnZPZJEMgcZef4yZ3CGLxLpxcynR4C,Fernando,Nolose
29/10/2019 18:53:39,Presidencia Roque Sáenz Peña,Grido,San Martín 29, 0364 443-0111,No,Horario Corrido,8:00:00,0:00:00,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1gmQzo7Xz0CMRkgKv-Vd9BG3PLD0lpREH,Grido,Grido
29/10/2019 18:58:26,Presidencia Roque Sáenz Peña,Ferretería La Victoria,San Martín 222,,No,Mañana y Tarde,,,7:00:00,12:00:00,16:00:00,21:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1IPJ0jzdNZeQg-l_selDvvy9tUIBuKdLC,Ferretería La Victoria,Ferretería La Victoria
29/10/2019 19:03:05,Presidencia Roque Sáenz Peña,Base Uno,San Martín 199,,No,Mañana y Tarde,,,9:00:00,12:00:00,17:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=14_nmCM5aisjndBFGHHtqhReWWGI74Bq3,Base Uno,Base Uno
29/10/2019 19:07:51,Presidencia Roque Sáenz Peña,Celestino Bazar,San Martín 159,,No,Mañana y Tarde,,,9:00:00,12:00:00,17:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1xtQ9UdaUo-_AgBsUTbScy9CnHxN0DhsC,Celestino Bazar,Celestino Bazar
29/10/2019 19:12:11,Presidencia Roque Sáenz Peña,Donna Boutique,calle 20 entre 5 y 7,,No,Mañana y Tarde,,,9:00:00,12:00:00,17:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1toztxrDUnWMojl-uuAeKYxw-YyMgRdHh,Norma,Roubal
29/10/2019 19:17:28,Presidencia Roque Sáenz Peña,Blanco y Negro,San Martín 199,,No,Mañana y Tarde,,,9:00:00,12:00:00,17:00:00,21:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1uaIknyBBV0_gtkeFHSas5QXa1uKXyGLX,Blanco,Negro
29/10/2019 19:26:47,Presidencia Roque Sáenz Peña,Rulito,San Martín 514,,No,Mañana y Tarde,,,9:00:00,13:00:00,17:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1MTZ5MZWohSY-lPhiUyy6FtU3_9OPWMO6,Rulito,Rulito
29/10/2019 19:34:45,Presidencia Roque Sáenz Peña,Nexit,calle 21 y12,+54 9 364 470-1635,No,Mañana y Tarde,,,9:00:00,13:00:00,17:00:00,21:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=11FS4QNAjPPdbcUoAVfRG59xL0Dtlb3PI,Mario,Tihy
29/10/2019 20:24:56,Machagai,Garces Repuestos ,Av Sarmiento 236,3734486136,Sí,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,19:30:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1FjVfubFE_r7waASnrfZV9a_C9I7alTHj,Franco,Garces
31/10/2019 17:48:57,Presidencia Roque Sáenz Peña,"Pizerría ""Los hijos de pita""",Calle falsa 123,36444444,Sí,24hs,,,,,,,Sábado,https://drive.google.com/open?id=1bxH_V4BX-ulDORygGb1_numHnu2b-dXy,Diego ,Capusotto
1/11/2019 16:32:44,Presidencia Roque Sáenz Peña,Juancito Testing,Estoy probando gente,364448832843423423423,No,24hs,,,,,,,"Lunes, Viernes, Sábado",,Juan,Martínez
4/11/2019 18:00:33,Presidencia Roque Sáenz Peña,Inmobiliaria Alcaráz,Gobernador Mansilla 370 Resistencia,0364154344500,No,Mañana y Tarde,,,8:00:00,12:00:00,16:30:00,20:30:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1LhmZVQEDY1Yjb7IL8EGY-G74BfF5kN_i,Nilce Noelia,Alcaráz